Proj,Ample,Anderberg,ArithmeticMean,Barinel,Dice,DStar,Euclid,Fagge,Fleiss,GeometricMean,Goodman,Gp13,Hamann,Hamming,HarmonicMean,Jaccard,Kulczynski1,Kulczynski2,M1,M2,McCon,Minus,Muse,Naish1,Naish2,Ochiai,Ochiai2,Overlap,Qe,RogersTanimoto,Rogot1,Rogot2,RussellRao,Scott,SimpleMatching,Sokal,SorensenDice,Tarantula,Wong1,Wong2,Wong3,Zoltar,null,
Closure_82, 31,645,-,645,645,645,698,645,-,-,-,645,-,698,-,645,645,645,698,645,-,-,-,219,645,645,645,645,645,698,723,730,645,-,698,698,645,645,645,-,-,645,645,
Closure_83, 3424,89,94,57,89,89,87,89,-,94,-,89,-,87,91,89,89,91,87,89,91,81,94,-,89,87,94,33,57,87,87,91,89,-,87,87,89,57,89,87,87,73,87,
Closure_84, 924,522,-,505,522,522,589,522,-,-,-,522,-,589,-,522,522,505,589,522,-,-,-,114,522,506,506,506,505,589,614,503,522,-,589,589,522,505,522,-,-,506,506,
Closure_85, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Closure_86, 5259,284,256,201,284,284,259,284,-,254,-,284,-,259,235,284,284,235,259,284,235,233,256,1,284,259,259,259,201,259,259,235,284,-,259,259,284,201,284,259,259,235,259,
Closure_87, 5947,-,-,-,-,-,618,-,-,-,-,-,-,618,-,-,-,-,618,-,-,-,-,168,-,-,-,-,-,618,643,645,-,-,618,618,-,-,-,-,-,-,-,
Closure_88, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Closure_89, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Closure_90, 79,-,-,-,-,-,672,-,-,-,-,-,-,672,-,-,-,-,672,-,-,-,-,230,-,-,-,-,-,672,697,699,-,-,672,672,-,-,-,-,-,-,-,
Closure_91, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Closure_92, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Closure_93, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
