Proj,Ample,Anderberg,ArithmeticMean,Barinel,Dice,DStar,Euclid,Fagge,Fleiss,GeometricMean,Goodman,Gp13,Hamann,Hamming,HarmonicMean,Jaccard,Kulczynski1,Kulczynski2,M1,M2,McCon,Minus,Muse,Naish1,Naish2,Ochiai,Ochiai2,Overlap,Qe,RogersTanimoto,Rogot1,Rogot2,RussellRao,Scott,SimpleMatching,Sokal,SorensenDice,Tarantula,Wong1,Wong2,Wong3,Zoltar,null,
Closure_45, 133,133,133,133,133,133,15819,133,8615,133,-,133,15819,15819,133,133,133,133,15819,133,133,133,133,-,133,133,133,133,133,15819,133,133,133,8482,15819,15819,133,133,133,-,-,133,133,
Closure_46, 1,1,1,13,1,1,4364,1,10079,1,-,1,4364,4364,1,1,1,1,4364,1,1,1,1,7061,1,1,9,1,13,4364,1,1,1,7790,4364,4364,1,13,1,-,1,1,1,
Closure_47, 135,118,118,4,118,118,118,135,7422,118,118,135,118,118,118,118,118,118,118,135,118,135,135,-,135,118,118,304,4,118,118,118,135,6718,118,118,118,4,135,118,135,115,118,
Closure_48, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Closure_49, 345,664,663,952,664,664,21926,83,3152,650,-,83,21926,21926,631,664,664,398,21926,329,398,303,345,-,83,633,804,567,952,21926,750,631,83,3152,21926,21926,664,952,83,-,345,88,633,
Closure_50, 17,27,27,33,27,27,33,17,10845,27,27,17,33,33,27,27,27,27,33,17,27,17,17,-,17,27,27,27,33,33,27,27,17,7727,33,33,27,33,17,-,-,27,27,
Closure_51, 607,33,33,33,33,33,22661,33,3117,33,-,33,22661,22661,33,33,33,33,22661,33,33,33,33,-,33,33,33,33,33,22661,22658,33,33,3117,22661,22661,33,33,33,-,-,33,33,
Closure_52, 5,5,5,5,5,5,12563,5,11308,5,-,5,12563,12563,5,5,5,5,12563,5,5,5,5,-,5,5,5,5,5,12563,5,5,5,10667,12563,12563,5,5,5,-,-,5,5,
Closure_53, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Closure_54, 3759,3438,3260,3438,3438,3438,25278,2011,316,3283,-,2011,-,25278,3296,3438,3438,2011,25278,2424,2011,2380,3296,-,2011,3220,3438,3228,3438,25278,25278,3296,2011,316,25278,25278,3438,3438,2011,-,-,2011,3220,
Closure_55, 26,26,26,26,26,26,11649,26,11500,26,-,26,11649,11649,26,26,26,26,11649,26,26,26,26,-,26,26,26,26,26,11649,26,26,26,10638,11649,11649,26,26,26,-,-,26,26,
