Proj,Ample,Anderberg,ArithmeticMean,Barinel,Dice,DStar,Euclid,Fagge,Fleiss,GeometricMean,Goodman,Gp13,Hamann,Hamming,HarmonicMean,Jaccard,Kulczynski1,Kulczynski2,M1,M2,McCon,Minus,Muse,Naish1,Naish2,Ochiai,Ochiai2,Overlap,Qe,RogersTanimoto,Rogot1,Rogot2,RussellRao,Scott,SimpleMatching,Sokal,SorensenDice,Tarantula,Wong1,Wong2,Wong3,Zoltar,null,
Lang_17, 814,442,440,440,442,442,4975,442,234,440,-,442,4975,4975,442,442,442,442,4975,442,-,440,442,4726,442,442,440,442,440,4975,440,442,442,238,4975,4975,442,440,442,-,-,442,442,
Lang_18, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Lang_19, 1893,-,-,-,-,-,3653,-,-,-,-,-,3653,3653,-,-,-,-,3653,-,-,-,-,3440,-,-,-,-,-,3653,3908,3909,-,-,3653,3653,-,-,-,-,-,-,-,
Lang_20, 3003,-,-,-,-,-,1028,-,-,-,-,-,1028,1028,-,-,-,-,1028,-,-,-,-,815,-,-,-,-,-,1028,1283,1285,-,-,1028,1028,-,-,-,-,-,-,-,
Lang_21, 7390,-,-,-,-,-,2952,-,-,-,-,-,2952,2952,-,-,-,-,2952,-,-,-,-,2703,-,-,-,-,-,2952,3304,3311,-,-,2952,2952,-,-,-,-,-,-,-,
Lang_22, 1451,-,-,-,-,-,6338,-,-,-,-,-,6338,6338,-,-,-,-,6338,-,-,-,-,5605,-,-,-,-,-,6338,6505,6515,-,-,6338,6338,-,-,-,-,-,-,-,
Lang_23, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Lang_24, 1803,657,616,564,657,657,1762,657,-,590,-,657,1762,1762,564,657,657,564,1762,657,-,564,616,1270,657,618,616,618,564,1762,651,564,657,-,1762,1762,657,564,657,-,-,618,618,
Lang_25, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Lang_26, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Lang_27, 1216,410,354,74,410,410,191,410,-,213,-,410,191,191,74,410,410,74,191,410,74,74,362,2097,410,269,262,269,74,191,404,74,410,-,191,191,410,74,410,191,246,74,269,
Lang_28, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Lang_29, 616,138,110,103,138,138,26,138,-,43,-,138,26,26,103,138,138,103,26,138,-,103,122,1086,138,59,56,7,103,26,134,103,138,-,26,26,138,103,138,26,81,121,59,
Lang_30, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Lang_31, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Lang_32, 2380,-,-,-,-,-,5356,-,-,-,-,-,5356,5356,-,-,-,-,5356,-,-,-,-,4751,-,-,-,-,-,5356,5585,5592,-,-,5356,5356,-,-,-,-,-,-,-,
Lang_33, 5929,-,-,-,-,-,2186,-,-,-,-,-,2186,2186,-,-,-,-,2186,-,-,-,-,1693,-,-,-,-,-,2186,2526,2528,-,-,2186,2186,-,-,-,-,-,-,-,
Lang_34, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Lang_35, 2279,-,-,-,-,-,1243,-,-,-,-,-,1243,1243,-,-,-,-,1243,-,-,-,-,642,-,-,-,-,-,1243,1726,1729,-,-,1243,1243,-,-,-,-,-,-,-,
Lang_36, 1586,621,510,116,621,621,276,621,-,313,-,621,276,276,116,621,621,116,276,621,116,119,511,1215,621,448,438,448,116,276,571,116,621,-,276,276,621,116,621,276,427,116,448,
